bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,registration_year,insurance_validity,fuel_type,seats,rto,ownership,engine_displacement,year_of_manufacture,Features,mileage,engine,max_power,torque,dimensions,miscellaneous,wheel_size
Hatchback,"1,20,000",Manual,3,3rd Owner,Maruti,Maruti Celerio,2015,3979,VXI,₹ 4 Lakh,2015,Third Party insurance,Petrol,5,KA51,Third Owner,998 cc,2015.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",23.1 kmpl,"White, K10B Engine, 998, 67.04bhp@6000rpm, 90Nm@3500rpm, 3, 4, DOHC, MPFi, 73 X 82 mm, 11.0:1, No, No",67.04bhp,90Nm,"3715mm, 1635mm, 1565mm, 2425mm, 1420mm, 1410mm, 835kg, 1250kg","5 Speed , FWD, 5, Power, 4.7 metres, Ventilated Disc, Drum, 150 Kmph, 15.05 Seconds, Tubeless, Radial, 5, 235-litres",
SUV,"32,706",Manual,2,2nd Owner,Ford,Ford Ecosport,2018,6087,1.5 Petrol Titanium BSIV,₹ 8.11 Lakh,Feb 2018,Comprehensive,Petrol,5,KA05,Second Owner,1497 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",17 kmpl,"White, Ti-VCT Petrol Engine, 1497, 121.31bhp@6500rpm, 150Nm@4500rpm, 3, 4, DOHC, Direct Injection, 79 X 76.5 mm, 11.0:1, No, No",121.31bhp,150Nm,"3998mm, 1765mm, 1647mm, 2519mm, 1242Kg, 1660Kg","5 Speed, FWD, 5, Power, 5.3 metres, Ventilated Disc, Drum, Tubeless,Radial, 16, 4, 352-litres",16
Hatchback,"11,949",Manual,1,1st Owner,Tata,Tata Tiago,2018,2983,1.2 Revotron XZ,₹ 5.85 Lakh,Sept 2018,Comprehensive,Petrol,5,KA03,First Owner,1199 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",23.84 kmpl,"Red, Revotron Engine, 1199, 84bhp@6000rpm, 114Nm@3500rpm, 3, 4, DOHC, MPFi, 77 X 85.8 mm, 10.8:1, No, No",84bhp,114Nm,"3746mm, 1647mm, 1535mm, 2400mm, 1400mm, 1420mm, 1012kg","5 Speed, FWD, 5, Power, 4.9 meters, Disc, Drum, 150 kmph, 14.3 Seconds, Tubeless, 14, 5, 242-litres",14
Sedan,"17,794",Manual,1,1st Owner,Hyundai,Hyundai Xcent,2014,1867,1.2 Kappa S Option,₹ 4.62 Lakh,Dec 2014,Comprehensive,Petrol,5,KA53,First Owner,1197 cc,2014.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",19.1 kmpl,"Others, Kappa VTVT Petrol Engine, 1197, 81.86bhp@6000rpm, 113.75Nm@4000rpm, 4, 4, DOHC, Direct Injection, No, No",81.86bhp,113.75Nm,"3995mm, 1660mm, 1520mm, 2425mm, 1479mm, 1493mm, 1180","5 Speed , FWD , 5, Power, 4.7 metres, Disc , Drum, 172km/hr, 14.2 Seconds, Tubeless,Radial, 14, 4, 407-litres",14
SUV,"60,000",Manual,1,1st Owner,Maruti,Maruti SX4 S Cross,2015,4277,DDiS 200 Zeta,₹ 7.90 Lakh,2015,Third Party insurance,Diesel,5,KA04,First Owner,1248 cc,2015.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",23.65 kmpl,"Gray, DDiS 200 Diesel Engine, 1248, 88.5bhp@4000rpm, 200Nm@1750rpm, 4, 4, DOHC, 69.6 x 82 mm, Yes, No",88.5bhp,200Nm,"4300mm, 1785mm, 1595mm, 2600mm, 1230Kg, 1670kg","5 Speed, FWD, 5, Power, 5.2 meters, Ventilated Disc, Solid Disc, 190 Kmph, 12 Seconds, Tubeless,Radial, 16, 5, 353-litres",16
SUV,"20,000",Manual,1,1st Owner,Jeep,Jeep Compass,2020,5931,2.0 Longitude BSIV,₹ 19 Lakh,2020,Third Party insurance,Diesel,5,KA04,First Owner,1956 cc,2020.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",17.1 kmpl,"Others, 2.0-Litre 4-Cyl Multijet II Engine, 1956, 170bhp@3750rpm, 350Nm@1750-2500rpm, 4, 4, DOHC, CRDI, Yes, No",170bhp,350Nm,"4395mm, 1818mm, 1640mm, 2636mm, 1551 kgs","6 Speed, 4X2, 5, power, Disc, Discs, Radial, Tubless, 17, 5, 408-litres",17
Hatchback,"37,772",Manual,1,1st Owner,Datsun,Datsun GO,2017,5223,T Option BSIV,₹ 3.45 Lakh,Aug 2017,Comprehensive,Petrol,5,KA05,First Owner,1198 cc,2017.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks, Radio",20.63 kmpl,"Grey, Petrol Engine, 1198, 67bhp@5000rpm, 104Nm@4000rpm, 3, 4, DOHC, Electronic Injection System, No, No",67bhp,104Nm,"3785mm, 1635mm, 1490mm, 2450mm, 1440mm, 1445mm, 1070","5 Speed, FWD, 5, Power, 4.6 metres,  Disc, Drum, 150 Kmph, 13.3 Seconds, Tubeless, 5, 265-litres",
SUV,"30,000",Automatic,1,1st Owner,Hyundai,Hyundai Venue,2021,6946,SX Plus Turbo DCT BSIV,₹ 12 Lakh,2021,Third Party insurance,Petrol,5,KA51,First Owner,998 cc,2021.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",18.15 kmpl,"Others, 998, 118.35bhp@6000rpm, 171.6Nm@1500-4000rpm, 3, 4, GDi, Yes",118.35bhp,171.6Nm,"3995 mm, 1770 mm, 1605 mm, 190mm, 2500 mm, 1440","7-Speed, FWD, 5, Power, Disc, Drum, Radial, 16, 5, 350",16
Sedan,"37,000",Automatic,1,1st Owner,Maruti,Maruti Ciaz,2018,6555,Alpha Automatic BSIV,₹ 9.60 Lakh,Aug 2018,Comprehensive,Petrol,5,KA03,First Owner,1462 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",20.28 kmpl,"Maroon, k15B VVT Engine, 1462, 103.25bhp@6000rpm, 138Nm@4400rpm, 4, 4, DOHC, MPFI, 74 x 85 mm, No, No",103.25bhp,138Nm,"4490 mm, 1730 mm, 1485 mm, 2650 mm, 1105, 1530Kg","4 Speed, FWD, 5, Power, 5.4 metres, Ventilated Disc, Drum, Tubeless, Radial, 16, 4, 510-litres",16
Hatchback,"11,949",Manual,1,1st Owner,Tata,Tata Tiago,2017,2985,1.2 Revotron XZ WO Alloy,₹ 5.85 Lakh,Jan 2018,Comprehensive,Petrol,5,KA03,First Owner,1199 cc,2017.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",23.84 kmpl,"Red, Revotron Engine, 1199, 84bhp@6000rpm, 114Nm@3500rpm, 3, 4, DOHC, MPFi, 77 X 85.8 mm, 10.8:1, No, No",84bhp,114Nm,"3746mm, 1647mm, 1535mm, 2400mm, 1400mm, 1420mm, 1012kg","5 Speed, FWD, 5, Power, 4.9 meters, Disc, Drum, 150 kmph, 14.3 Seconds, Tubeless, 5, 242-litres",
